"Story","Title","Result","Date","Stability","Duration (s)"
"Create Category Product","Create Category Product valid","SUCCESS","2022-11-02T21:51:29.6664244+07:00[Asia/Bangkok]","0.0","6.23"
"Create Category Product","Create Category Product invalid","SUCCESS","2022-11-02T21:51:35.917256+07:00[Asia/Bangkok]","0.0","1.61"
"Create Category Product","Get category with valid id","SUCCESS","2022-11-02T21:51:37.5322062+07:00[Asia/Bangkok]","0.0","3.04"
"Create Category Product","Get category with invalid id","SUCCESS","2022-11-02T21:51:40.5733594+07:00[Asia/Bangkok]","0.0","1.56"
"Create Category Product","Get all category","SUCCESS","2022-11-02T21:51:42.1337894+07:00[Asia/Bangkok]","0.0","1.71"
