"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication","Registration with valid email password and full name","SUCCESS","2022-11-07T10:06:15.5316819+07:00[Asia/Bangkok]","0.0","6.41"
"Authentication","Registration with invalid email password and full name","SUCCESS","2022-11-07T10:06:21.9551461+07:00[Asia/Bangkok]","0.0","1.67"
"Authentication","Login","SUCCESS","2022-11-07T10:06:23.632603+07:00[Asia/Bangkok]","0.0","9.66"
"Authentication","Get user valid token","SUCCESS","2022-11-07T10:06:33.3041406+07:00[Asia/Bangkok]","0.0","1.56"
"Authentication","Get user invalid token","SUCCESS","2022-11-07T10:06:34.879638+07:00[Asia/Bangkok]","0.0","1.61"
