"Story","Title","Result","Date","Stability","Duration (s)"
"Create Category Product","Create Category Product valid","SUCCESS","2022-11-07T10:06:15.5101494+07:00[Asia/Bangkok]","0.0","6.43"
"Create Category Product","Create Category Product invalid","SUCCESS","2022-11-07T10:06:21.9740829+07:00[Asia/Bangkok]","0.0","1.64"
"Create Category Product","Get category with valid id","SUCCESS","2022-11-07T10:06:23.6649529+07:00[Asia/Bangkok]","0.0","1.5"
"Create Category Product","Get category with invalid id","SUCCESS","2022-11-07T10:06:25.1938295+07:00[Asia/Bangkok]","0.0","1.49"
"Create Category Product","Get all category","SUCCESS","2022-11-07T10:06:26.6958455+07:00[Asia/Bangkok]","0.0","2.09"
